Complaint Text,Category
Wi-Fi connectivity was poor throughout the stay.,Technical Issue
Elevator at Marriott was stuck for several minutes.,Service Delay
Insufficient staff at the front desk.,Customer Service Issue
Taxi service arranged by the hotel overcharged me.,Billing Issue
Staff behavior was rude and unprofessional.,Customer Service Issue
The lounge was overcrowded and unclean.,Room Cleanliness
The elevators were malfunctioning frequently.,Facility Unavailable
Billing amount at Marriott was incorrect at checkout.,Billing Issue
The lounge was overcrowded and unclean.,Room Cleanliness
Restaurant order was served cold.,Food Quality Issue
The hotel restaurant staff ignored my requests.,Food Quality Issue
Discrepancies in minibar billing at Marriott.,Food Quality Issue
Checkout process at Marriott was excessively slow.,Service Delay
Reservation details were not found upon arrival.,Booking Issue
Unauthorized charges on my credit card.,Billing Issue
Food served cold at Marriott restaurant.,Food Quality Issue
The hotel shuttle was not running on schedule.,Facility Issue
Poor quality of towels and bedsheets.,Room Facility Issue
The swimming pool was not operational.,Facility Issue
The thermostat in the room was not working properly.,Facility Unavailable
Reservation system crashed while booking.,Booking Issue
Room keys stopped working frequently.,Service Issue
The Marriott lounge was overcrowded and unclean.,Room Cleanliness
Air conditioning made loud noises throughout the night.,Room Facility Issue
The Marriott restaurant staff ignored my requests.,Food Quality Issue
Wi-Fi connectivity at Marriott was poor throughout the stay.,Technical Issue
Gym equipment was broken and unsafe.,Booking Issue
Reservation details were not found upon arrival.,Booking Issue
Long waiting time at the reception during check-in.,Booking Issue
No hot water in the bathroom at Marriott.,Service Issue
The hotel restaurant staff ignored my requests.,Food Quality Issue
In-room dining took more than an hour.,Service Delay
Taxi service arranged by the hotel overcharged me.,Billing Issue
Room keys stopped working frequently.,Service Issue
Parking was not available despite prior confirmation.,Booking Issue
Gym equipment was broken and unsafe.,Facility Unavailable
Received a charge for an item I did not consume from the mini-bar.,Billing Issue
Food served cold at Marriott restaurant.,Food Quality Issue
Air conditioning at Marriott made loud noises throughout the night.,Room Facility Issue
Air conditioning at Marriott was not working.,Room Facility Issue
Late-night parties at Marriott disturbed my sleep.,Room Facility Issue
The lounge was overcrowded and unclean.,Room Cleanliness
Taxi service arranged by the hotel overcharged me.,Billing Issue
TV channels were not working properly in Marriott room.,Room Facility Issue
The lounge was overcrowded and unclean.,Room Cleanliness
Parking was not available despite prior confirmation.,Booking Issue
Billing discrepancies for mini-bar usage.,Billing Issue
Late-night parties caused sleep disturbance.,Service Delay
The hotel’s website had misleading information about amenities.,Technical Issue
Room keys at Marriott stopped working frequently.,Service Issue
The swimming pool was not operational.,Facility Issue
The elevators were malfunctioning frequently.,Facility Unavailable
Wi-Fi connectivity was poor throughout the stay.,Technical Issue
Food served cold at Marriott restaurant.,Food Quality Issue
The thermostat in the room was not working properly.,Facility Unavailable
Reservation system crashed while booking.,Booking Issue
Wi-Fi connectivity was poor throughout the stay.,Technical Issue
Taxi service arranged by the hotel overcharged me.,Billing Issue
The elevators were malfunctioning frequently.,Facility Unavailable
Repeated power outages in the Marriott.,Booking Issue
The swimming pool at Marriott was not operational.,Facility Issue
Room service staff entered without knocking.,Customer Service Issue
Taxi service arranged by the Marriott overcharged me.,Billing Issue
Parking was not available despite prior confirmation.,Room Facility Issue
Wi-Fi connectivity at Marriott was poor throughout the stay.,Technical Issue
Construction noise around Marriott disturbed my stay.,Room Facility Issue
Elevator at Marriott was stuck for several minutes.,Service Delay
Wi-Fi connectivity at Marriott was poor throughout the stay.,Technical Issue
Air conditioning at Marriott made loud noises throughout the night.,Room Facility Issue
Elevator was stuck for several minutes.,Service Delay
The Marriott lounge was overcrowded and unclean.,Room Cleanliness
Staff behavior was rude and unprofessional.,Customer Service Issue
Marriott reservation details not found upon arrival.,Booking Issue
Bar staff at Marriott was inattentive.,Food Quality Issue
Parking was not available despite prior confirmation.,Booking Issue
The hotel shuttle was not running on schedule.,Facility Issue
Late-night parties caused sleep disturbance.,Service Delay
Bed at Marriott was too hard and uncomfortable.,Room Facility Issue
Marriott reservation details not found upon arrival.,Booking Issue
Wi-Fi connectivity was poor throughout the stay.,Technical Issue
Elevator at Marriott was stuck for several minutes.,Service Delay
Reservation details were not found upon arrival.,Booking Issue
Gym equipment at Marriott was broken and unsafe.,Facility Unavailable
Room lighting at Marriott was too dim and switches malfunctioned.,Room Facility Issue
Restaurant order was served cold.,Billing Issue
Laundry service at Marriott delayed my clothes delivery.,Customer Service Issue
Elevator was stuck for several minutes.,Service Delay
The bar staff was inattentive and slow.,Food Quality Issue
Reservation details were not found upon arrival.,Booking Issue
Noise disturbance from nearby construction.,Service Issue
Poor quality of towels and bedsheets.,Room Facility Issue
The lounge was overcrowded and unclean.,Service Issue
Elevator was stuck for several minutes.,Service Delay
Wi-Fi speed at Marriott was extremely slow.,Service Delay
The hotel overbooked and I was denied my reserved room.,Technical Issue
Staff behavior at Marriott was rude and unprofessional.,Customer Service Issue
Staff behavior was rude and unprofessional.,Customer Service Issue
Elevator at Marriott was stuck for several minutes.,Service Delay
Taxi arranged by Marriott overcharged me.,Billing Issue
The Marriott restaurant staff ignored my requests.,Food Quality Issue
Laundry service at Marriott delayed my clothes delivery.,Customer Service Issue
The swimming pool was not operational.,Facility Issue
Restaurant order was served cold.,Food Quality Issue
The lounge was overcrowded and unclean.,Room Cleanliness
Billing amount at Marriott was incorrect at checkout.,Billing Issue
Wi-Fi connectivity was poor throughout the stay.,Technical Issue
Billing discrepancies for mini-bar usage.,Billing Issue
The room at Marriott had a foul smell.,Room Cleanliness
Received a charge for an item I did not consume from the mini-bar.,Billing Issue
Wi-Fi connectivity at Marriott was poor throughout the stay.,Food Quality Issue
Air conditioning made loud noises throughout the night.,Room Facility Issue
Bathroom had leaking taps.,Service Issue
Restaurant order was served cold.,Food Quality Issue
Room lighting was too dim and switches malfunctioned.,Billing Issue
Receptionist provided incorrect room keys.,Customer Service Issue
Credit card machine was not working at checkout.,Billing Issue
The restaurant menu was very limited.,Food Quality Issue
Restaurant order was served cold.,Food Quality Issue
Air conditioning made loud noises throughout the night.,Room Facility Issue
The thermostat in the room was not working properly.,Room Facility Issue
Wi-Fi connectivity was poor throughout the stay.,Billing Issue
Insufficient staff at the front desk.,Customer Service Issue
Taxi service arranged by the hotel overcharged me.,Billing Issue
The swimming pool was not operational.,Facility Issue
Air conditioning made loud noises throughout the night.,Facility Unavailable
The swimming pool was not operational.,Service Issue
Wi-Fi connectivity at Marriott was poor throughout the stay.,Technical Issue
Wi-Fi connectivity at Marriott was poor throughout the stay.,Food Quality Issue
Marriott overbooked and I was denied my reserved room.,Booking Issue
Elevator was stuck for several minutes.,Service Delay
Bathroom at Marriott had leaking taps.,Service Issue
The lounge was overcrowded and unclean.,Room Cleanliness
Wi-Fi connectivity at Marriott was poor throughout the stay.,Technical Issue
Wi-Fi connectivity at Marriott was poor throughout the stay.,Technical Issue
The television in the room had no signal.,Service Issue
Elevator at Marriott was stuck for several minutes.,Service Delay
The hotel’s website had misleading information about amenities.,Technical Issue
Unauthorized charges on my credit card.,Customer Service Issue
The swimming pool was not operational.,Customer Service Issue
Repeated power outages in the Marriott.,Technical Issue
The lounge was overcrowded and unclean.,Room Cleanliness
Room service staff at Marriott entered without knocking.,Customer Service Issue
The swimming pool was not operational.,Facility Issue
Billing amount at Marriott was incorrect at checkout.,Billing Issue
The thermostat in the room was not working properly.,Facility Unavailable
The room was not clean upon arrival.,Service Issue
The room at Marriott had a foul smell.,Room Cleanliness
TV channels were not working properly in Marriott room.,Room Facility Issue
Long waiting time at Marriott reception during check-in.,Booking Issue
The restaurant menu was very limited.,Food Quality Issue
Bed was too hard and uncomfortable.,Service Issue
Wi-Fi connectivity was poor throughout the stay.,Technical Issue
The television in the room had no signal.,Billing Issue
Poor quality of towels and bedsheets.,Room Facility Issue
The valet service took an excessive amount of time to retrieve my car.,Customer Service Issue
TV channels were not working properly in Marriott room.,Room Cleanliness
Checkout process at Marriott was excessively slow.,Service Delay
Billing amount at Marriott was incorrect at checkout.,Billing Issue
The elevators were malfunctioning frequently.,Facility Unavailable
Air conditioning controls at Marriott could not be adjusted.,Room Facility Issue
The elevators at Marriott malfunctioned frequently.,Facility Issue
The thermostat in the room was not working properly.,Facility Unavailable
Gym equipment was broken and unsafe.,Facility Unavailable
Wi-Fi connectivity at Marriott was poor throughout the stay.,Technical Issue
Air conditioning controls at Marriott could not be adjusted.,Room Facility Issue
The swimming pool at Marriott was not operational.,Facility Issue
